,video_id,rating
0,XpVt6Z1Gjjo,15
1,cLdxuaxaQwc,5
2,WYYvHb03Eog,21
3,sjlHnJvXdQs,25
4,cMKX2tE5Luk,40
5,8wNr-NQImFg,16
6,_HTXMhKWqnA,21
7,_ANP3HR1jsM,30
8,zgLtEob6X-Q,24
9,Ayb_2qbZHm4,38
10,CsdzflTXBVQ,27
11,l864IBj7cgw,11
12,4MkC65emkG4,7
13,vu_9muoxT50,34
14,1L7JFN7tQLs,30
15,ZQK1F0wz6z4,25
16,T_PuZBdT2iM,13
17,w8fAellnPns,-2
18,UCrBICYM0yM,21
19,-Ifnaxi2LQg,27
20,B7YaMkCl3XA,18
21,5ywKal6-anc,4
22,4Yue-q9Jdbk,33
23,JhA1Wi9mrns,7
24,EVp4-qjWVJE,11
25,LcZ2AuvxXNA,36
26,MdzGZv3zQ-U,29
27,1ZNZY-gd3K0,-7
28,2wxyDrfwlXQ,44
29,QBGaO89cBMI,29
30,ql0Op1VcELw,31
31,JO7X9ZPoAp8,-8
32,GGm0FQ6i74U,18
33,a7Sf_H2cFdM,40
34,oDIDZ9EmQfA,23
35,zAtHxJvSczA,3
36,l_uNfGY3v8E,-16
37,Rew50oYjRqA,42
38,WWexI9YiLSc,23
39,LDcm6twPEJA,14
40,O78Lpo4ctSE,49
41,qJJHhVf3_ZM,-2
42,3yoGE3v4A8w,38
43,zTjcPeb2Gwg,40
44,hQbeB0YXLhs,71
45,L3f7_y9UPh4,44
46,6vGg-jJl30A,52
47,9CILSvf1snQ,44
48,WoPtuVbaSKQ,29
49,62cWuFjzOgs,6
50,NzRuDD0iYC0,3
51,eM_FR7I2Ttw,42
52,eoArC99zm1M,12
53,IMG0u0_cKNc,10
54,bAon04ZJhHE,12
55,LTnl36-0-zU,28
56,EmjMWi0MBXQ,10
57,c7ymY8QEB2g,54
58,Ez95rPffd8k,-20
59,08RHSZvixec,13
60,zAXn-v9RdXo,1
61,_SRNenu07Lw,2
62,iXexmZm3_j8,27
63,GpAuCG6iUcA,-8
64,eRDxDEhEgNY,33
65,AZTGeQ5msaU,15
66,yiblDn4JGfQ,57
67,xKXxJcf6_IE,18
68,YQYslaA1Lus,24
69,k9bYO7uSnrg,0
70,1nEp6DcHwhs,30
71,brfJuyTADuQ,16
72,bp6uJJJMaLs,29
73,ah8SQNOXgrQ,24
74,rHfyvSgvgoo,25
75,-JmNKGfFj7w,15
76,Vjc459T6wX8,27
